inning,half,outs,base,scoreDiffHome,weHome
1,top,0,4,6,0.8543
1,top,0,4,7,0.8869
1,top,0,4,8,0.9129
1,top,0,4,9,0.9333
1,top,0,4,10,0.9493
1,top,0,5,-10,0.0543
1,top,0,5,-9,0.0712
1,top,0,5,-8,0.093
1,top,0,5,-7,0.1205
1,top,0,5,-6,0.1547
1,top,0,5,-5,0.1965
1,top,0,5,-4,0.2464
1,top,0,5,-3,0.3041
1,top,0,5,-2,0.3687
1,top,0,5,-1,0.4383
1,top,0,5,0,0.5105
1,top,0,5,1,0.5822
1,top,0,5,2,0.6507
1,top,0,5,3,0.7134
1,top,0,5,4,0.7689
1,top,0,5,5,0.8164
1,top,0,5,6,0.8559
1,top,0,5,7,0.8882
1,top,0,5,8,0.9139
1,top,0,5,9,0.9341
1,top,0,5,10,0.9499
1,top,0,6,-10,0.055
1,top,0,6,-9,0.0722
1,top,0,6,-8,0.0942
1,top,0,6,-7,0.1221
1,top,0,6,-6,0.1567
1,top,0,6,-5,0.1989
1,top,0,6,-4,0.2492
1,top,0,6,-3,0.3073
1,top,0,6,-2,0.3722
1,top,0,6,-1,0.442
1,top,0,6,0,0.5142
1,top,0,6,1,0.5859
1,top,0,6,2,0.6541
1,top,0,6,3,0.7165
1,top,0,6,4,0.7715
1,top,0,6,5,0.8186
1,top,0,6,6,0.8578
1,top,0,6,7,0.8896
1,top,0,6,8,0.9151
1,top,0,6,9,0.9351
1,top,0,6,10,0.9506
1,top,0,7,-10,0.0557
1,top,0,7,-9,0.0731
1,top,0,7,-8,0.0953
1,top,0,7,-7,0.1235
1,top,0,7,-6,0.1584
1,top,0,7,-5,0.201
1,top,0,7,-4,0.2516
1,top,0,7,-3,0.31
1,top,0,7,-2,0.3752
1,top,0,7,-1,0.4452
1,top,0,7,0,0.5175
1,top,0,7,1,0.589
1,top,0,7,2,0.657
1,top,0,7,3,0.7191
1,top,0,7,4,0.7738
1,top,0,7,5,0.8205
1,top,0,7,6,0.8594
1,top,0,7,7,0.8909
1,top,0,7,8,0.9161
1,top,0,7,9,0.9358
1,top,0,7,10,0.9512
1,top,1,0,-10,0.0507
1,top,1,0,-9,0.0666
1,top,1,0,-8,0.0871
1,top,1,0,-7,0.113
1,top,1,0,-6,0.1455
1,top,1,0,-5,0.1854
1,top,1,0,-4,0.2333
1,top,1,0,-3,0.2891
1,top,1,0,-2,0.3521
1,top,1,0,-1,0.4207
1,top,1,0,0,0.4925
1,top,1,0,1,0.5646
1,top,1,0,2,0.6341
1,top,1,0,3,0.6985
1,top,1,0,4,0.7558
1,top,1,0,5,0.8053
1,top,1,0,6,0.8468
1,top,1,0,7,0.8808
1,top,1,0,8,0.908
1,top,1,0,9,0.9296
1,top,1,0,10,0.9463
1,top,1,1,-10,0.0513
1,top,1,1,-9,0.0674
1,top,1,1,-8,0.0881
1,top,1,1,-7,0.1144
1,top,1,1,-6,0.1472
1,top,1,1,-5,0.1874
1,top,1,1,-4,0.2356
1,top,1,1,-3,0.2917
1,top,1,1,-2,0.355
1,top,1,1,-1,0.4238
1,top,1,1,0,0.4958
1,top,1,1,1,0.5678
1,top,1,1,2,0.6371
1,top,1,1,3,0.7012
1,top,1,1,4,0.7582
1,top,1,1,5,0.8074
1,top,1,1,6,0.8485
1,top,1,1,7,0.8822
1,top,1,1,8,0.9091
1,top,1,1,9,0.9304
1,top,1,1,10,0.947
1,top,1,2,-10,0.0521
1,top,1,2,-9,0.0684
1,top,1,2,-8,0.0893
1,top,1,2,-7,0.1159
1,top,1,2,-6,0.1491
1,top,1,2,-5,0.1897
1,top,1,2,-4,0.2383
1,top,1,2,-3,0.2948
1,top,1,2,-2,0.3585
1,top,1,2,-1,0.4275
1,top,1,2,0,0.4995
1,top,1,2,1,0.5715
1,top,1,2,2,0.6406
1,top,1,2,3,0.7043
1,top,1,2,4,0.761
1,top,1,2,5,0.8097
1,top,1,2,6,0.8504
1,top,1,2,7,0.8837
1,top,1,2,8,0.9104
1,top,1,2,9,0.9314
1,top,1,2,10,0.9477
1,top,1,3,-10,0.0527
1,top,1,3,-9,0.0692
1,top,1,3,-8,0.0904
1,top,1,3,-7,0.1172
1,top,1,3,-6,0.1507
1,top,1,3,-5,0.1917
1,top,1,3,-4,0.2407
1,top,1,3,-3,0.2975
1,top,1,3,-2,0.3615
1,top,1,3,-1,0.4307
1,top,1,3,0,0.5027
1,top,1,3,1,0.5747
1,top,1,3,2,0.6436
1,top,1,3,3,0.707
1,top,1,3,4,0.7633
1,top,1,3,5,0.8117
1,top,1,3,6,0.8521
1,top,1,3,7,0.885
1,top,1,3,8,0.9114
1,top,1,3,9,0.9322
1,top,1,3,10,0.9484
1,top,1,4,-10,0.0527
1,top,1,4,-9,0.0692
1,top,1,4,-8,0.0904
1,top,1,4,-7,0.1172
1,top,1,4,-6,0.1507
1,top,1,4,-5,0.1917
1,top,1,4,-4,0.2407
1,top,1,4,-3,0.2975
1,top,1,4,-2,0.3615
1,top,1,4,-1,0.4307
1,top,1,4,0,0.5027
1,top,1,4,1,0.5747
1,top,1,4,2,0.6436
1,top,1,4,3,0.707
1,top,1,4,4,0.7633
1,top,1,4,5,0.8117
1,top,1,4,6,0.8521
1,top,1,4,7,0.885
1,top,1,4,8,0.9114
1,top,1,4,9,0.9322
1,top,1,4,10,0.9484
1,top,1,5,-10,0.0534
1,top,1,5,-9,0.07
1,top,1,5,-8,0.0915
1,top,1,5,-7,0.1186
1,top,1,5,-6,0.1524
1,top,1,5,-5,0.1937
1,top,1,5,-4,0.2431
1,top,1,5,-3,0.3003
1,top,1,5,-2,0.3645
1,top,1,5,-1,0.4339
1,top,1,5,0,0.506
1,top,1,5,1,0.5779
1,top,1,5,2,0.6466
1,top,1,5,3,0.7097
1,top,1,5,4,0.7657
1,top,1,5,5,0.8137
1,top,1,5,6,0.8537
1,top,1,5,7,0.8864
1,top,1,5,8,0.9125
1,top,1,5,9,0.933
1,top,1,5,10,0.949
1,top,1,6,-10,0.0541
1,top,1,6,-9,0.071
1,top,1,6,-8,0.0927
1,top,1,6,-7,0.1202
1,top,1,6,-6,0.1543
1,top,1,6,-5,0.1961
1,top,1,6,-4,0.2458
1,top,1,6,-3,0.3034
1,top,1,6,-2,0.368
1,top,1,6,-1,0.4376
1,top,1,6,0,0.5097
1,top,1,6,1,0.5815
1,top,1,6,2,0.65
1,top,1,6,3,0.7128
1,top,1,6,4,0.7683
1,top,1,6,5,0.8159
1,top,1,6,6,0.8556
1,top,1,6,7,0.8879
1,top,1,6,8,0.9136
1,top,1,6,9,0.9339
1,top,1,6,10,0.9497
1,top,1,7,-10,0.0548
1,top,1,7,-9,0.0719
1,top,1,7,-8,0.0938
1,top,1,7,-7,0.1215
1,top,1,7,-6,0.156
1,top,1,7,-5,0.1981
1,top,1,7,-4,0.2482
1,top,1,7,-3,0.3062
1,top,1,7,-2,0.371
1,top,1,7,-1,0.4408
1,top,1,7,0,0.513
1,top,1,7,1,0.5847
1,top,1,7,2,0.6529
1,top,1,7,3,0.7154
1,top,1,7,4,0.7707
1,top,1,7,5,0.8179
1,top,1,7,6,0.8572
1,top,1,7,7,0.8891
1,top,1,7,8,0.9147
1,top,1,7,9,0.9347
1,top,1,7,10,0.9504
1,top,2,0,-10,0.0498
1,top,2,0,-9,0.0655
1,top,2,0,-8,0.0856
1,top,2,0,-7,0.1113
1,top,2,0,-6,0.1433
1,top,2,0,-5,0.1827
1,top,2,0,-4,0.2301
1,top,2,0,-3,0.2854
1,top,2,0,-2,0.348
1,top,2,0,-1,0.4163
1,top,2,0,0,0.488
1,top,2,0,1,0.5602
1,top,2,0,2,0.6299
1,top,2,0,3,0.6947
1,top,2,0,4,0.7525
1,top,2,0,5,0.8025
1,top,2,0,6,0.8445
1,top,2,0,7,0.8789
1,top,2,0,8,0.9065
1,top,2,0,9,0.9284
1,top,2,0,10,0.9454
1,top,2,1,-10,0.0505
1,top,2,1,-9,0.0663
1,top,2,1,-8,0.0867
1,top,2,1,-7,0.1125
1,top,2,1,-6,0.1449
1,top,2,1,-5,0.1847
1,top,2,1,-4,0.2324
1,top,2,1,-3,0.288
1,top,2,1,-2,0.3509
1,top,2,1,-1,0.4195
1,top,2,1,0,0.4913
1,top,2,1,1,0.5634
1,top,2,1,2,0.633
1,top,2,1,3,0.6974
1,top,2,1,4,0.7549
1,top,2,1,5,0.8046
1,top,2,1,6,0.8462
1,top,2,1,7,0.8803
1,top,2,1,8,0.9076
1,top,2,1,9,0.9292
1,top,2,1,10,0.9461
1,top,2,2,-10,0.0512
1,top,2,2,-9,0.0672
1,top,2,2,-8,0.0879
1,top,2,2,-7,0.1141
1,top,2,2,-6,0.1468
1,top,2,2,-5,0.1869
1,top,2,2,-4,0.2351
1,top,2,2,-3,0.2911
1,top,2,2,-2,0.3543
1,top,2,2,-1,0.4231
1,top,2,2,0,0.495
1,top,2,2,1,0.5671
1,top,2,2,2,0.6365
1,top,2,2,3,0.7006
1,top,2,2,4,0.7577
1,top,2,2,5,0.8069
1,top,2,2,6,0.8481
1,top,2,2,7,0.8818
1,top,2,2,8,0.9089
1,top,2,2,9,0.9302
1,top,2,2,10,0.9468
1,top,2,3,-10,0.0518
1,top,2,3,-9,0.0681
1,top,2,3,-8,0.0889
1,top,2,3,-7,0.1154
1,top,2,3,-6,0.1484
1,top,2,3,-5,0.1889
1,top,2,3,-4,0.2374
1,top,2,3,-3,0.2938
1,top,2,3,-2,0.3573
1,top,2,3,-1,0.4263
1,top,2,3,0,0.4983
1,top,2,3,1,0.5703
1,top,2,3,2,0.6395
1,top,2,3,3,0.7033
1,top,2,3,4,0.7601
1,top,2,3,5,0.8089
1,top,2,3,6,0.8498
1,top,2,3,7,0.8832
1,top,2,3,8,0.9099
1,top,2,3,9,0.9311
1,top,2,3,10,0.9475
1,top,2,4,-10,0.0518
1,top,2,4,-9,0.0681
1,top,2,4,-8,0.0889
1,top,2,4,-7,0.1154
1,top,2,4,-6,0.1484
1,top,2,4,-5,0.1889
1,top,2,4,-4,0.2374
1,top,2,4,-3,0.2938
1,top,2,4,-2,0.3573
1,top,2,4,-1,0.4263
1,top,2,4,0,0.4983
1,top,2,4,1,0.5703
1,top,2,4,2,0.6395
1,top,2,4,3,0.7033
1,top,2,4,4,0.7601
1,top,2,4,5,0.8089
1,top,2,4,6,0.8498
1,top,2,4,7,0.8832
1,top,2,4,8,0.9099
1,top,2,4,9,0.9311
1,top,2,4,10,0.9475
1,top,2,5,-10,0.0525
1,top,2,5,-9,0.0689
1,top,2,5,-8,0.09
1,top,2,5,-7,0.1167
1,top,2,5,-6,0.1501
1,top,2,5,-5,0.1909
1,top,2,5,-4,0.2398
1,top,2,5,-3,0.2965
1,top,2,5,-2,0.3603
1,top,2,5,-1,0.4295
1,top,2,5,0,0.5015
1,top,2,5,1,0.5735
1,top,2,5,2,0.6424
1,top,2,5,3,0.706
1,top,2,5,4,0.7624
1,top,2,5,5,0.8109
1,top,2,5,6,0.8514
1,top,2,5,7,0.8845
1,top,2,5,8,0.911
1,top,2,5,9,0.9319
1,top,2,5,10,0.9481
1,top,2,6,-10,0.0532
1,top,2,6,-9,0.0698
1,top,2,6,-8,0.0912
1,top,2,6,-7,0.1183
1,top,2,6,-6,0.152
1,top,2,6,-5,0.1933
1,top,2,6,-4,0.2425
1,top,2,6,-3,0.2996
1,top,2,6,-2,0.3638
1,top,2,6,-1,0.4332
1,top,2,6,0,0.5052
1,top,2,6,1,0.5771
1,top,2,6,2,0.6459
1,top,2,6,3,0.7091
1,top,2,6,4,0.7651
1,top,2,6,5,0.8132
1,top,2,6,6,0.8533
1,top,2,6,7,0.886
1,top,2,6,8,0.9122
1,top,2,6,9,0.9328
1,top,2,6,10,0.9489
1,top,2,7,-10,0.0539
1,top,2,7,-9,0.0707
1,top,2,7,-8,0.0923
1,top,2,7,-7,0.1196
1,top,2,7,-6,0.1537
1,top,2,7,-5,0.1953
1,top,2,7,-4,0.2449
1,top,2,7,-3,0.3024
1,top,2,7,-2,0.3668
1,top,2,7,-1,0.4363
1,top,2,7,0,0.5085
1,top,2,7,1,0.5803
1,top,2,7,2,0.6489
1,top,2,7,3,0.7118
1,top,2,7,4,0.7675
1,top,2,7,5,0.8152
1,top,2,7,6,0.855
1,top,2,7,7,0.8874
1,top,2,7,8,0.9133
1,top,2,7,9,0.9336
1,top,2,7,10,0.9495
1,bottom,0,0,-10,0.0527
1,bottom,0,0,-9,0.0693
1,bottom,0,0,-8,0.0905
1,bottom,0,0,-7,0.1173
1,bottom,0,0,-6,0.1508
1,bottom,0,0,-5,0.1919
1,bottom,0,0,-4,0.2409
1,bottom,0,0,-3,0.2978
1,bottom,0,0,-2,0.3617
1,bottom,0,0,-1,0.4309
1,bottom,0,0,0,0.503
1,bottom,0,0,1,0.5749
1,bottom,0,0,2,0.6438
1,bottom,0,0,3,0.7072
1,bottom,0,0,4,0.7635
1,bottom,0,0,5,0.8118
1,bottom,0,0,6,0.8522
1,bottom,0,0,7,0.8851
1,bottom,0,0,8,0.9115
1,bottom,0,0,9,0.9323
1,bottom,0,0,10,0.9484
1,bottom,0,1,-10,0.0534
1,bottom,0,1,-9,0.0701
1,bottom,0,1,-8,0.0915
1,bottom,0,1,-7,0.1187
1,bottom,0,1,-6,0.1525
1,bottom,0,1,-5,0.1939
1,bottom,0,1,-4,0.2432
1,bottom,0,1,-3,0.3005
1,bottom,0,1,-2,0.3647
1,bottom,0,1,-1,0.4341
1,bottom,0,1,0,0.5062
1,bottom,0,1,1,0.5781
1,bottom,0,1,2,0.6468
1,bottom,0,1,3,0.7099
1,bottom,0,1,4,0.7658
1,bottom,0,1,5,0.8138
1,bottom,0,1,6,0.8538
1,bottom,0,1,7,0.8865
1,bottom,0,1,8,0.9125
1,bottom,0,1,9,0.9331
1,bottom,0,1,10,0.9491
1,bottom,0,2,-10,0.0542
1,bottom,0,2,-9,0.0711
1,bottom,0,2,-8,0.0928
1,bottom,0,2,-7,0.1203
1,bottom,0,2,-6,0.1545
1,bottom,0,2,-5,0.1962
1,bottom,0,2,-4,0.246
1,bottom,0,2,-3,0.3036
1,bottom,0,2,-2,0.3682
1,bottom,0,2,-1,0.4378
1,bottom,0,2,0,0.51
1,bottom,0,2,1,0.5818
1,bottom,0,2,2,0.6502
1,bottom,0,2,3,0.713
1,bottom,0,2,4,0.7685
1,bottom,0,2,5,0.8161
1,bottom,0,2,6,0.8557
1,bottom,0,2,7,0.888
1,bottom,0,2,8,0.9137
1,bottom,0,2,9,0.934
1,bottom,0,2,10,0.9498
1,bottom,0,3,-10,0.0548
1,bottom,0,3,-9,0.072
1,bottom,0,3,-8,0.0939
1,bottom,0,3,-7,0.1216
1,bottom,0,3,-6,0.1562
1,bottom,0,3,-5,0.1983
1,bottom,0,3,-4,0.2484
1,bottom,0,3,-3,0.3064
1,bottom,0,3,-2,0.3712
1,bottom,0,3,-1,0.441
1,bottom,0,3,0,0.5132
1,bottom,0,3,1,0.5849
1,bottom,0,3,2,0.6532
1,bottom,0,3,3,0.7157
1,bottom,0,3,4,0.7708
1,bottom,0,3,5,0.818
1,bottom,0,3,6,0.8573
1,bottom,0,3,7,0.8892
1,bottom,0,3,8,0.9147
1,bottom,0,3,9,0.9348
1,bottom,0,3,10,0.9504
1,bottom,0,4,-10,0.0548
1,bottom,0,4,-9,0.072
1,bottom,0,4,-8,0.0939
1,bottom,0,4,-7,0.1216
1,bottom,0,4,-6,0.1562
1,bottom,0,4,-5,0.1983
1,bottom,0,4,-4,0.2484
1,bottom,0,4,-3,0.3064
1,bottom,0,4,-2,0.3712
1,bottom,0,4,-1,0.441
1,bottom,0,4,0,0.5132
1,bottom,0,4,1,0.5849
1,bottom,0,4,2,0.6532
1,bottom,0,4,3,0.7157
1,bottom,0,4,4,0.7708
1,bottom,0,4,5,0.818
1,bottom,0,4,6,0.8573
1,bottom,0,4,7,0.8892
1,bottom,0,4,8,0.9147
1,bottom,0,4,9,0.9348
1,bottom,0,4,10,0.9504
1,bottom,0,5,-10,0.0555
1,bottom,0,5,-9,0.0728
1,bottom,0,5,-8,0.095
1,bottom,0,5,-7,0.123
1,bottom,0,5,-6,0.1579
1,bottom,0,5,-5,0.2004
1,bottom,0,5,-4,0.2509
1,bottom,0,5,-3,0.3092
1,bottom,0,5,-2,0.3743
1,bottom,0,5,-1,0.4442
1,bottom,0,5,0,0.5165
1,bottom,0,5,1,0.5881
1,bottom,0,5,2,0.6561
1,bottom,0,5,3,0.7183
1,bottom,0,5,4,0.7731
1,bottom,0,5,5,0.8199
1,bottom,0,5,6,0.8589
1,bottom,0,5,7,0.8905
1,bottom,0,5,8,0.9158
1,bottom,0,5,9,0.9356
1,bottom,0,5,10,0.951
1,bottom,0,6,-10,0.0563
1,bottom,0,6,-9,0.0739
1,bottom,0,6,-8,0.0963
1,bottom,0,6,-7,0.1247
1,bottom,0,6,-6,0.1599
1,bottom,0,6,-5,0.2028
1,bottom,0,6,-4,0.2537
1,bottom,0,6,-3,0.3124
1,bottom,0,6,-2,0.3778
1,bottom,0,6,-1,0.4479
1,bottom,0,6,0,0.5202
1,bottom,0,6,1,0.5917
1,bottom,0,6,2,0.6595
1,bottom,0,6,3,0.7213
1,bottom,0,6,4,0.7757
1,bottom,0,6,5,0.8222
1,bottom,0,6,6,0.8607
1,bottom,0,6,7,0.892
1,bottom,0,6,8,0.9169
1,bottom,0,6,9,0.9365
1,bottom,0,6,10,0.9517
1,bottom,0,7,-10,0.057
1,bottom,0,7,-9,0.0747
1,bottom,0,7,-8,0.0974
1,bottom,0,7,-7,0.1261
1,bottom,0,7,-6,0.1617
1,bottom,0,7,-5,0.2049
1,bottom,0,7,-4,0.2562
1,bottom,0,7,-3,0.3152
1,bottom,0,7,-2,0.3808
1,bottom,0,7,-1,0.4512
1,bottom,0,7,0,0.5235
1,bottom,0,7,1,0.5948
1,bottom,0,7,2,0.6624
1,bottom,0,7,3,0.7239
1,bottom,0,7,4,0.778
1,bottom,0,7,5,0.824
1,bottom,0,7,6,0.8622
1,bottom,0,7,7,0.8932
1,bottom,0,7,8,0.9179
1,bottom,0,7,9,0.9373
1,bottom,0,7,10,0.9523
1,bottom,1,0,-10,0.0519
1,bottom,1,0,-9,0.0681
1,bottom,1,0,-8,0.089
1,bottom,1,0,-7,0.1155
1,bottom,1,0,-6,0.1486
1,bottom,1,0,-5,0.1891
1,bottom,1,0,-4,0.2376
1,bottom,1,0,-3,0.294
1,bottom,1,0,-2,0.3576
1,bottom,1,0,-1,0.4265
1,bottom,1,0,0,0.4985
1,bottom,1,0,1,0.5705
1,bottom,1,0,2,0.6397
1,bottom,1,0,3,0.7035
1,bottom,1,0,4,0.7602
1,bottom,1,0,5,0.8091
1,bottom,1,0,6,0.8499
1,bottom,1,0,7,0.8833
1,bottom,1,0,8,0.91
1,bottom,1,0,9,0.9311
1,bottom,1,0,10,0.9475
1,bottom,1,1,-10,0.0525
1,bottom,1,1,-9,0.0689
1,bottom,1,1,-8,0.0901
1,bottom,1,1,-7,0.1168
1,bottom,1,1,-6,0.1502
1,bottom,1,1,-5,0.1911
1,bottom,1,1,-4,0.2399
1,bottom,1,1,-3,0.2967
1,bottom,1,1,-2,0.3605
1,bottom,1,1,-1,0.4297
1,bottom,1,1,0,0.5017
1,bottom,1,1,1,0.5737
1,bottom,1,1,2,0.6427
1,bottom,1,1,3,0.7062
1,bottom,1,1,4,0.7626
1,bottom,1,1,5,0.8111
1,bottom,1,1,6,0.8516
1,bottom,1,1,7,0.8846
1,bottom,1,1,8,0.9111
1,bottom,1,1,9,0.9319
1,bottom,1,1,10,0.9482
1,bottom,1,2,-10,0.0533
1,bottom,1,2,-9,0.0699
1,bottom,1,2,-8,0.0913
1,bottom,1,2,-7,0.1184
1,bottom,1,2,-6,0.1521
1,bottom,1,2,-5,0.1934
1,bottom,1,2,-4,0.2427
1,bottom,1,2,-3,0.2999
1,bottom,1,2,-2,0.364
1,bottom,1,2,-1,0.4334
1,bottom,1,2,0,0.5055
1,bottom,1,2,1,0.5774
1,bottom,1,2,2,0.6461
1,bottom,1,2,3,0.7093
1,bottom,1,2,4,0.7653
1,bottom,1,2,5,0.8134
1,bottom,1,2,6,0.8535
1,bottom,1,2,7,0.8861
1,bottom,1,2,8,0.9123
1,bottom,1,2,9,0.9329
1,bottom,1,2,10,0.9489
1,bottom,1,3,-10,0.0539
1,bottom,1,3,-9,0.0708
1,bottom,1,3,-8,0.0924
1,bottom,1,3,-7,0.1197
1,bottom,1,3,-6,0.1538
1,bottom,1,3,-5,0.1954
1,bottom,1,3,-4,0.2451
1,bottom,1,3,-3,0.3026
1,bottom,1,3,-2,0.367
1,bottom,1,3,-1,0.4366
1,bottom,1,3,0,0.5087
1,bottom,1,3,1,0.5805
1,bottom,1,3,2,0.6491
1,bottom,1,3,3,0.712
1,bottom,1,3,4,0.7676
1,bottom,1,3,5,0.8153
1,bottom,1,3,6,0.8551
1,bottom,1,3,7,0.8875
1,bottom,1,3,8,0.9133
1,bottom,1,3,9,0.9337
1,bottom,1,3,10,0.9495
1,bottom,1,4,-10,0.0539
1,bottom,1,4,-9,0.0708
1,bottom,1,4,-8,0.0924
1,bottom,1,4,-7,0.1197
1,bottom,1,4,-6,0.1538
1,bottom,1,4,-5,0.1954
1,bottom,1,4,-4,0.2451
1,bottom,1,4,-3,0.3026
1,bottom,1,4,-2,0.367
1,bottom,1,4,-1,0.4366
1,bottom,1,4,0,0.5087
1,bottom,1,4,1,0.5805
1,bottom,1,4,2,0.6491
1,bottom,1,4,3,0.712
1,bottom,1,4,4,0.7676
1,bottom,1,4,5,0.8153
1,bottom,1,4,6,0.8551
1,bottom,1,4,7,0.8875
1,bottom,1,4,8,0.9133
1,bottom,1,4,9,0.9337
1,bottom,1,4,10,0.9495
1,bottom,1,5,-10,0.0546
1,bottom,1,5,-9,0.0716
1,bottom,1,5,-8,0.0935
1,bottom,1,5,-7,0.1211
1,bottom,1,5,-6,0.1555
1,bottom,1,5,-5,0.1975
1,bottom,1,5,-4,0.2475
1,bottom,1,5,-3,0.3053
1,bottom,1,5,-2,0.3701
1,bottom,1,5,-1,0.4398
1,bottom,1,5,0,0.512
1,bottom,1,5,1,0.5837
1,bottom,1,5,2,0.652
1,bottom,1,5,3,0.7146
1,bottom,1,5,4,0.7699
1,bottom,1,5,5,0.8173
1,bottom,1,5,6,0.8567
1,bottom,1,5,7,0.8887
1,bottom,1,5,8,0.9144
1,bottom,1,5,9,0.9345
1,bottom,1,5,10,0.9502
1,bottom,1,6,-10,0.0554
1,bottom,1,6,-9,0.0726
1,bottom,1,6,-8,0.0947
1,bottom,1,6,-7,0.1227
1,bottom,1,6,-6,0.1575
1,bottom,1,6,-5,0.1999
1,bottom,1,6,-4,0.2503
1,bottom,1,6,-3,0.3085
1,bottom,1,6,-2,0.3736
1,bottom,1,6,-1,0.4435
1,bottom,1,6,0,0.5157
1,bottom,1,6,1,0.5873
1,bottom,1,6,2,0.6554
1,bottom,1,6,3,0.7177
1,bottom,1,6,4,0.7726
1,bottom,1,6,5,0.8195
1,bottom,1,6,6,0.8585
1,bottom,1,6,7,0.8902
1,bottom,1,6,8,0.9155
1,bottom,1,6,9,0.9354
1,bottom,1,6,10,0.9509
1,bottom,1,7,-10,0.056
1,bottom,1,7,-9,0.0735
1,bottom,1,7,-8,0.0959
1,bottom,1,7,-7,0.1241
1,bottom,1,7,-6,0.1592
1,bottom,1,7,-5,0.202
1,bottom,1,7,-4,0.2527
1,bottom,1,7,-3,0.3113
1,bottom,1,7,-2,0.3766
1,bottom,1,7,-1,0.4467
1,bottom,1,7,0,0.519
1,bottom,1,7,1,0.5905
1,bottom,1,7,2,0.6584
1,bottom,1,7,3,0.7203
1,bottom,1,7,4,0.7749
1,bottom,1,7,5,0.8214
1,bottom,1,7,6,0.8601
1,bottom,1,7,7,0.8915
1,bottom,1,7,8,0.9165
1,bottom,1,7,9,0.9362
1,bottom,1,7,10,0.9515
1,bottom,2,0,-10,0.051
1,bottom,2,0,-9,0.067
1,bottom,2,0,-8,0.0875
1,bottom,2,0,-7,0.1136
1,bottom,2,0,-6,0.1463
1,bottom,2,0,-5,0.1863
1,bottom,2,0,-4,0.2343
1,bottom,2,0,-3,0.2903
1,bottom,2,0,-2,0.3534
1,bottom,2,0,-1,0.4221
1,bottom,2,0,0,0.494
1,bottom,2,0,1,0.5661
1,bottom,2,0,2,0.6355
1,bottom,2,0,3,0.6997
1,bottom,2,0,4,0.7569
1,bottom,2,0,5,0.8063
1,bottom,2,0,6,0.8476
1,bottom,2,0,7,0.8814
1,bottom,2,0,8,0.9085
1,bottom,2,0,9,0.93
